original_text,rating,date,sentiment,summary
"This shampoo have amazing smell and get foam and wash with small portion of  shampoo in hand 👌👌I get my hair smooth, shiny and scent smell also 😊😊🥰❤️❤️Content after purchasinh this product twice time",5.0,Reviewed in India on 15 February 2026,Positive,"2. Summary: The reviewer loves this shampoo, praising its amazing smell, ability to lather with a small amount, and effectiveness in leaving their hair smooth, shiny, and scented. They have purchased the product twice, indicating high satisfaction with the results."
Hair turns soft and bouncyGood shampoo!,5.0,Reviewed in India on 23 March 2026,Positive,"2. Summary: The reviewer is satisfied with the shampoo, stating that it makes their hair soft and bouncy. They also explicitly express their approval by saying ""Good shampoo!""."
Best one,4.0,Reviewed in India on 4 February 2026,Positive,"2. Summary: The reviewer has given a very brief but highly positive review, stating that the product is the ""Best one"", indicating a strong endorsement. This suggests that the reviewer is extremely satisfied with the product, but unfortunately, no specific details or reasons are provided for their high praise."
Nice shampoo hair fall control,5.0,Reviewed in India on 22 March 2026,Positive,"2. Summary: The reviewer found the shampoo to be effective for hair fall control and had a generally favorable experience. The brief review suggests that the product met their expectations, with ""Nice"" indicating a positive opinion."
For the price expectation was highBut does exactly the same job that loreal hylaronic shampoo does which is budget friendly also. Not really worth the hype but keeps hair soft and a OK product overall,3.0,Reviewed in India on 13 January 2026,Neutral,"2. Summary: The reviewer found the product to be overhyped and not worth the price, as it performs similarly to a more budget-friendly option, but still considers it an okay product that keeps hair soft. Overall, the reviewer has mixed feelings about the product, acknowledging both its effectiveness and its lack of value."
It is fake,5.0,Reviewed in India on 28 March 2026,Negative,"2. Summary: The reviewer expresses a strongly negative opinion, stating that the product is fake, implying that it does not meet their expectations or is a counterfeit item. This brief review lacks detail, but clearly conveys the reviewer's dissatisfaction with the product."
"Toxic chemicals sold in beautiful label and bottles.Had  irritation,felt hotness around eyes,eye itching,fragrance did not leave my palms even after washing several times.Fragrance was irritating also.I dint feel the freshness I usually feel after bathing ,when I used this to wash my hair.Instead I felt dousing myself in chemicals.It was like my whole body just did not like this product evnthough I applied it only on my hair.As a person who tries maximum to avoid chemicals and these kind of products,I  had to give in ,since my hair was very brittle and frizzy and dull.This thing made it more brittle .Even after knowing very well that ,applying chemicals topically ,for a condition caused by poor nutrition,stress ,sleep deprivation ,dehydration and carelessness is of no use,I don't know what I was thinking while buying this.Don't know how to get rid of this product now.Feeling regret.Note:This is my experience.",1.0,Reviewed in India on 17 March 2026,Negative,"2. Summary: The reviewer had a strongly negative experience with the product, experiencing irritation, itchiness, and a lingering fragrance that they found unpleasant, and it ultimately made their hair more brittle rather than improving its condition. They express regret over purchasing the product, which they feel is overly chemical-based and ineffective for their hair needs."
Good product..,5.0,Reviewed in India on 23 March 2026,Positive,"2. Summary: The reviewer expresses a generally favorable opinion of the product, stating it is ""good"". However, the review is brief and lacks specific details about the product's features or performance."
مختلف تماما عن الصوره,2.0,Reviewed in the United Arab Emirates on 31 October 2021,Negative,"2. Summary: The reviewer expresses disappointment, stating that the product is completely different from the image. This suggests that the product did not meet their expectations based on the provided visuals."
"Can use for all type of hair, especially blow dry hair",5.0,Reviewed in Saudi Arabia on 3 November 2023,Positive,"2. Summary: The reviewer finds the product versatile, suitable for all hair types, and particularly useful for blow-dried hair. The review is brief but suggests the product is effective and convenient to use."
